"Election ID","Election Name","Society ID","Society Name","Election Start Date","Election End Date"
911,"Pantomime Society AGM Elections 2023",273,Pantomime,"2023-03-28 00:00:00","2023-03-31 23:59:00"
912,"Book Club AGM",51,"Book Club","2023-03-23 00:01:00","2023-04-09 23:59:00"
913,"Leeds Media Students AGM 2023",202,"Leeds Media Students","2023-05-01 14:00:00","2023-05-08 14:00:00"
914,"LUU Christian Union AGM 23",77,"Christian Union","2023-03-27 12:00:00","2023-03-28 12:00:00"
915,"Leeds Student Staff Solidarity Committee Elections for the 2023/24 Academic Year",520,"Student Staff Solidarity","2023-05-13 18:00:00","2023-05-18 18:00:00"
916,"Leeds University Union Hiking Club, AGM, March 2023",154,Hiking,"2023-03-30 23:00:00","2023-03-31 23:00:00"
917,"DiceSoc AGM 2023",104,DiceSoc,"2023-03-23 08:00:00","2023-03-30 23:59:00"
918,"Folk and Thackray Sage Morris AGM 2023",128,"Folk and Thackray Sage Morris","2023-03-23 00:01:00","2023-03-30 23:59:00"
919,"LSCFR AGM 2023",84,"Community First Responders","2023-03-24 12:01:00","2023-03-30 20:00:00"
920,"Assistant General Sec and Events Sec EGM",22,Art,"2023-03-11 18:01:00","2023-03-13 00:00:00"
921,"UOL Tennis Committee Elections 2023",355,"Tennis (m & w)","2023-03-23 09:00:00","2023-03-26 21:00:00"
922,"EGM Cara Lee",22,Art,"2023-03-14 12:58:00","2023-03-15 15:01:00"
923,"Indian Students Association Elections 2023-2024",171,"Indian Student Association","2023-03-24 17:00:00","2023-03-28 17:00:00"
924,"Leeds University Business School Society AGM",63,"Business School Society (LUBS)","2023-03-30 08:00:00","2023-05-17 21:00:00"
925,"Committee 23/24",497,"Falcons Cheerleading Society (MSRC)","2023-03-29 00:00:00","2023-03-31 12:00:00"
926,"Lego Society Committee of 2023-24",475,"Lego Society","2023-03-23 00:00:00","2023-04-02 23:59:00"
927,"ComicSoc 2023-24 Committee Election",83,"Comics & Graphic Novels","2023-03-22 12:01:00","2023-03-31 23:59:00"
928,"EGM no.2",183,"Jiu Jitsu","2023-03-15 17:01:00","2023-03-15 23:00:00"
929,"Photography Society AGM",472,Photography,"2023-04-12 12:01:00","2023-04-18 23:59:00"
930,"Big Band AGM, April 2023",46,"Big Band","2023-04-06 11:00:00","2023-04-07 17:00:00"
931,"Feminist Society AGM (March-April 2023)",123,Feminist,"2023-04-20 00:02:00","2023-04-27 00:02:00"
932,"RocSoc AGM 2023",108,"Earth Sciences (RocSoc)","2023-04-24 17:01:00","2023-05-08 17:00:00"
933,"PsycSoc, AGM, March 2023",289,Psychology,"2023-04-11 09:00:00","2023-05-01 17:00:00"
934,"Education Society - EGM",454,"Education Society","2023-04-02 17:01:00","2023-04-04 16:59:00"
935,"Classics Society AGM 23/24",79,Classics,"2023-05-02 12:00:00","2023-05-15 12:00:00"
936,"Band Soc committee elections",34,"Band Soc","2023-04-11 00:00:00","2023-04-17 11:59:00"
937,"Swing Dance Society AGM",350,"Swing Dance","2023-04-22 16:10:00","2023-05-08 16:11:00"
938,"Women In Leadership AGM",389,"Women In Leadership","2023-05-09 00:00:00","2023-05-12 23:59:00"
939,"Scout and Guide AGM",313,"Scout & Guide","2023-04-27 00:01:00","2023-05-03 12:00:00"
940,"ShockSoc, AGM, April 2023",316,"ShockSoc (Electrical Engineering)","2023-05-26 00:01:00","2023-06-01 23:59:00"
941,"Anime & Manga AGM 2023",17,"Anime & Manga","2023-05-03 08:00:00","2023-05-12 23:59:00"
942,"2023/24 elections",438,"Students Against Sexual Harassment & Assault (SASHA)","2023-05-08 06:00:00","2023-05-14 23:59:00"
943,"Committee Elections 2023/24",366,"Touch Rugby (Mixed)","2023-05-04 08:00:00","2023-05-09 23:00:00"
944,"LUMSOC AGM 2022/23",223,Malaysian,"2023-05-13 00:00:00","2023-05-14 12:00:00"
945,"UOL Gymnastics AGM 23/24",146,Gymnastics,"2023-04-19 00:01:00","2023-05-03 00:00:00"
946,"Irish Dance Society AGM",177,"Irish Dancing","2023-05-01 12:00:00","2023-05-08 12:00:00"
947,"Vertical Fitness AGM",376,"Vertical Fitness","2023-05-08 00:00:00","2023-05-14 23:59:00"
948,"Sci Fi and Fantasy 2023 AGM",310,"Sci Fi and Fantasy","2023-05-21 00:00:00","2023-05-31 23:59:00"
949,"Fashion Society AGM 2023",122,Fashion,"2023-05-01 00:01:00","2023-05-07 23:59:00"
950,"HistSoc Election AGM 2023",156,History,"2023-04-17 08:00:00","2023-04-21 18:00:00"
951,"Horrorsoc AGM 2023",434,"Leeds Horror Society","2023-05-03 12:00:00","2023-05-12 11:30:00"
952,"LUU Taekwondo AGM",352,Tae-Kwon-Do,"2023-05-02 09:00:00","2023-05-08 17:00:00"
953,"Big Open Party AGM Elections",47,"Big Open Party","2023-04-24 15:00:00","2023-05-01 15:00:00"
954,"Leeds Mens Futsal AGM 2023",136,"Futsal (m)","2023-05-16 16:11:00","2023-05-26 16:11:00"
955,"LUSC AGM 2023",306,"Sailing Club","2023-05-15 18:30:00","2023-05-16 18:30:00"
956,"Teddy bear hospital AGM 2023",354,"Teddy Bear Hospital","2023-05-01 20:37:00","2023-05-07 20:37:00"
957,"Bengali Society Commitee 2023/24  AGM",43,Bengali,"2023-06-16 06:00:00","2023-06-28 23:59:00"
958,"Handball 2023/24 committee election",147,Handball,"2023-04-21 10:00:00","2023-05-10 14:00:00"
959,"Mens Basketball Committee elections 2023",38,"Basketball (m)","2023-04-17 00:01:00","2023-05-01 23:59:00"
960,"KPOP Dance Society (KDS) AGM, May 2023",190,"KPOP Dance","2023-05-15 09:00:00","2023-05-21 23:59:00"
961,"MSRC AGM 2023",246,MSRC,"2023-05-20 00:00:00","2023-05-29 23:59:00"
962,"ARTSOC AGM 2023/24",22,Art,"2023-05-05 00:01:00","2023-05-12 00:00:00"
963,"Hong Kong Public Affairs and Social Services Society, AGM, April 2023",163,"Hong Kong Public Affairs & Social Services Society","2023-04-29 10:00:00","2023-05-31 23:00:00"
964,"Performing Arts AGM",276,"Performing Arts","2023-05-01 10:00:00","2023-05-14 23:00:00"
